,id,hour,source,number
281,40026,4.0,TruckSource6,24
282,40027,4.0,TruckSource7,23
283,40028,4.0,TruckSource8,19
284,40029,4.0,TruckSource9,19
285,40030,4.0,TruckSource10,20
286,40031,4.0,TruckSource11,19
287,40032,4.0,TruckSource12,15
288,40033,4.0,TruckSource13,17
289,40034,4.0,TruckSource14,16
290,40035,4.0,TruckSource15,17
291,40036,4.0,TruckSource16,17
292,40037,4.0,TruckSource17,19
293,40038,4.0,TruckSource18,18
294,40039,4.0,TruckSource19,20
295,40040,4.0,TruckSource20,20
296,40041,4.0,TruckSource21,20
297,40042,4.0,TruckSource22,18
298,40043,4.0,TruckSource23,21
299,40044,4.0,TruckSource24,20
300,40045,4.0,TruckSource25,14
301,40046,4.0,TruckSource26,14
302,40047,4.0,TruckSource27,18
303,40048,4.0,TruckSource28,20
304,40049,4.0,TruckSource29,22
305,40050,4.0,TruckSource30,18
306,40051,4.0,TruckSource31,23
307,40052,4.0,TruckSource32,14
308,40053,4.0,TruckSource33,17
309,40054,4.0,TruckSource34,15
310,40055,4.0,TruckSource35,23
311,40056,4.0,TruckSource36,21
312,40057,4.0,TruckSource37,6
313,40058,4.0,TruckSource38,5
314,40059,4.0,TruckSource39,6
315,40060,4.0,TruckSource40,6
316,40061,4.0,TruckSource41,7
317,40062,4.0,TruckSource42,6
318,40063,4.0,TruckSource43,6
319,40064,4.0,TruckSource44,7
320,40065,4.0,TruckSource45,7
321,40066,4.0,TruckSource46,6
322,40067,4.0,TruckSource47,7
323,40068,4.0,TruckSource48,7
324,40069,4.0,TruckSource49,6
325,40070,4.0,TruckSource50,7
326,40071,4.0,TruckSource51,10
327,40072,4.0,TruckSource52,11
328,40073,4.0,TruckSource53,10
329,40074,4.0,TruckSource54,12
330,40075,4.0,TruckSource55,4
331,40076,4.0,TruckSource56,3
332,40077,4.0,TruckSource57,4
333,40078,4.0,TruckSource58,4
334,40079,4.0,TruckSource59,5
335,40080,4.0,TruckSource60,2
336,40081,4.0,TruckSource61,3
337,40082,4.0,TruckSource62,2
338,40083,4.0,TruckSource63,3
339,40084,4.0,TruckSource64,3
340,40085,4.0,TruckSource65,2
341,40086,4.0,TruckSource66,3
342,40087,4.0,TruckSource67,2
343,40088,4.0,TruckSource68,2
344,40089,4.0,TruckSource69,3
345,40090,5.0,TruckSource1,27
346,40091,5.0,TruckSource2,27
347,40092,5.0,TruckSource3,16
348,40093,5.0,TruckSource4,18
349,40094,5.0,TruckSource5,30
350,40095,5.0,TruckSource6,30
351,40096,5.0,TruckSource7,28
352,40097,5.0,TruckSource8,24
353,40098,5.0,TruckSource9,24
354,40099,5.0,TruckSource10,25
355,40100,5.0,TruckSource11,24
356,40101,5.0,TruckSource12,19
357,40102,5.0,TruckSource13,22
358,40103,5.0,TruckSource14,20
359,40104,5.0,TruckSource15,22
360,40105,5.0,TruckSource16,22
361,40106,5.0,TruckSource17,24
362,40107,5.0,TruckSource18,23
363,40108,5.0,TruckSource19,24
364,40109,5.0,TruckSource20,24
365,40110,5.0,TruckSource21,25
366,40111,5.0,TruckSource22,23
367,40112,5.0,TruckSource23,26
368,40113,5.0,TruckSource24,26
369,40114,5.0,TruckSource25,18
370,40115,5.0,TruckSource26,17
371,40116,5.0,TruckSource27,23
372,40117,5.0,TruckSource28,24
373,40118,5.0,TruckSource29,27
374,40119,5.0,TruckSource30,22
375,40120,5.0,TruckSource31,29
376,40121,5.0,TruckSource32,18
377,40122,5.0,TruckSource33,20
378,40123,5.0,TruckSource34,18
379,40124,5.0,TruckSource35,28
380,40125,5.0,TruckSource36,26
381,40126,5.0,TruckSource37,8
382,40127,5.0,TruckSource38,7
383,40128,5.0,TruckSource39,7
384,40129,5.0,TruckSource40,7
385,40130,5.0,TruckSource41,8
386,40131,5.0,TruckSource42,7
387,40132,5.0,TruckSource43,7
388,40133,5.0,TruckSource44,9
389,40134,5.0,TruckSource45,9
390,40135,5.0,TruckSource46,7
391,40136,5.0,TruckSource47,9
392,40137,5.0,TruckSource48,8
393,40138,5.0,TruckSource49,7
394,40139,5.0,TruckSource50,8
395,40140,5.0,TruckSource51,12
396,40141,5.0,TruckSource52,13
397,40142,5.0,TruckSource53,13
398,40143,5.0,TruckSource54,14
399,40144,5.0,TruckSource55,5
400,40145,5.0,TruckSource56,4
401,40146,5.0,TruckSource57,4
402,40147,5.0,TruckSource58,4
403,40148,5.0,TruckSource59,6
404,40149,5.0,TruckSource60,3
405,40150,5.0,TruckSource61,3
406,40151,5.0,TruckSource62,3
407,40152,5.0,TruckSource63,3
408,40153,5.0,TruckSource64,3
409,40154,5.0,TruckSource65,3
410,40155,5.0,TruckSource66,3
411,40156,5.0,TruckSource67,3
412,40157,5.0,TruckSource68,2
413,40158,5.0,TruckSource69,3
414,40159,6.0,TruckSource1,32
415,40160,6.0,TruckSource2,32
416,40161,6.0,TruckSource3,20
417,40162,6.0,TruckSource4,21
418,40163,6.0,TruckSource5,35
419,40164,6.0,TruckSource6,36
420,40165,6.0,TruckSource7,34
421,40166,6.0,TruckSource8,28
422,40167,6.0,TruckSource9,29
423,40168,6.0,TruckSource10,30
424,40169,6.0,TruckSource11,29
425,40170,6.0,TruckSource12,23
426,40171,6.0,TruckSource13,26
427,40172,6.0,TruckSource14,25
428,40173,6.0,TruckSource15,26
429,40174,6.0,TruckSource16,26
430,40175,6.0,TruckSource17,28
431,40176,6.0,TruckSource18,27
432,40177,6.0,TruckSource19,29
433,40178,6.0,TruckSource20,28
434,40179,6.0,TruckSource21,30
435,40180,6.0,TruckSource22,28
436,40181,6.0,TruckSource23,31
437,40182,6.0,TruckSource24,31
438,40183,6.0,TruckSource25,21
439,40184,6.0,TruckSource26,21
440,40185,6.0,TruckSource27,27
441,40186,6.0,TruckSource28,28
442,40187,6.0,TruckSource29,32
443,40188,6.0,TruckSource30,27
444,40189,6.0,TruckSource31,34
445,40190,6.0,TruckSource32,22
446,40191,6.0,TruckSource33,24
447,40192,6.0,TruckSource34,22
448,40193,6.0,TruckSource35,33
449,40194,6.0,TruckSource36,30
450,40195,6.0,TruckSource37,9
451,40196,6.0,TruckSource38,8
452,40197,6.0,TruckSource39,8
